date,total_customer_count,fixed_customer_count,fixed_customer_ratio
2024-05-01,66,34,0.515152
2024-05-02,68,35,0.514706
2024-05-07,63,41,0.650794
2024-05-08,59,35,0.59322
2024-05-09,61,36,0.590164
2024-05-10,66,39,0.590909
2024-05-11,58,32,0.551724
2024-05-12,23,9,0.391304
2024-05-13,57,33,0.578947
2024-05-14,69,39,0.565217
2024-05-15,65,35,0.538462
2024-05-16,64,35,0.546875
2024-05-17,57,41,0.719298
2024-05-18,54,31,0.574074
2024-05-19,23,10,0.434783
2024-05-20,57,32,0.561404
2024-05-21,71,41,0.577465
2024-05-22,60,35,0.583333
2024-05-23,67,36,0.537313
2024-05-24,60,40,0.666667
2024-05-25,57,32,0.561404
2024-05-26,28,11,0.392857
2024-05-27,59,32,0.542373
2024-05-28,71,41,0.577465
2024-05-29,57,35,0.614035
2024-05-30,64,35,0.546875
2024-05-31,65,39,0.6
2024-06-01,53,31,0.584906
2024-06-02,24,10,0.416667
2024-06-03,45,32,0.711111
2024-06-04,64,40,0.625
2024-06-05,61,35,0.57377
2024-06-06,54,35,0.648148
2024-06-07,59,39,0.661017
2024-06-08,60,31,0.516667
2024-06-10,55,32,0.581818
2024-06-11,65,41,0.630769
2024-06-12,64,35,0.546875
2024-06-13,69,35,0.507246
2024-06-14,61,39,0.639344
2024-06-15,55,31,0.563636
2024-06-16,22,10,0.454545
2024-06-17,48,32,0.666667
2024-06-18,66,41,0.621212
2024-06-19,60,34,0.566667
2024-06-20,52,35,0.673077
2024-06-21,67,40,0.597015
2024-06-22,57,31,0.54386
2024-06-23,29,12,0.413793
2024-06-24,55,33,0.6
2024-06-25,65,41,0.630769
2024-06-26,64,36,0.5625
2024-06-27,58,35,0.603448
2024-06-28,67,39,0.58209
2024-06-29,52,31,0.596154
2024-06-30,26,10,0.384615
2024-07-01,52,32,0.615385
2024-07-02,64,40,0.625
2024-07-03,59,35,0.59322
2024-07-04,58,35,0.603448
2024-07-05,63,39,0.619048
2024-07-06,59,31,0.525424
2024-07-07,24,12,0.5
2024-07-08,54,32,0.592593
2024-07-09,68,40,0.588235
2024-07-10,59,35,0.59322
2024-07-11,60,35,0.583333
2024-07-12,58,39,0.672414
2024-07-13,60,31,0.516667
2024-07-15,51,19,0.372549
2024-07-16,62,41,0.66129
2024-07-17,58,36,0.62069
2024-07-18,62,35,0.564516
2024-07-19,62,41,0.66129
2024-07-20,53,31,0.584906
2024-07-21,30,15,0.5
2024-07-22,56,35,0.625
2024-07-23,68,41,0.602941
2024-07-24,58,34,0.586207
2024-07-25,101,35,0.346535
2024-07-26,68,39,0.573529
2024-07-27,60,31,0.516667
2024-07-28,30,11,0.366667
2024-07-29,54,32,0.592593
2024-07-30,67,38,0.567164
2024-07-31,69,35,0.507246
2024-08-01,59,31,0.525424
2024-08-02,64,36,0.5625
2024-08-03,47,29,0.617021
2024-08-04,26,12,0.461538
2024-08-05,52,30,0.576923
2024-08-06,71,37,0.521127
2024-08-07,71,31,0.43662
2024-08-08,69,31,0.449275
2024-08-09,66,36,0.545455
2024-08-10,60,29,0.483333
2024-08-11,31,12,0.387097
2024-08-12,40,17,0.425
2024-08-16,61,36,0.590164
2024-08-17,49,32,0.653061
2024-08-18,31,11,0.354839
2024-08-19,54,30,0.555556
2024-08-20,59,36,0.610169
2024-08-21,59,30,0.508475
2024-08-22,62,31,0.5
2024-08-23,61,35,0.57377
2024-08-24,52,29,0.557692
2024-08-25,31,11,0.354839
2024-08-26,54,31,0.574074
2024-08-27,60,36,0.6
2024-08-28,59,31,0.525424
2024-08-29,61,31,0.508197
2024-08-30,66,36,0.545455
2024-08-31,50,29,0.58
2024-09-01,21,10,0.47619
2024-09-02,54,30,0.555556
2024-09-03,56,36,0.642857
