date,reserve_count,reserve_sum,fixed_ratio
2024-04-07,1.0,45.0,17.0
2024-04-08,1.0,72.0,46.0
2024-04-09,1.0,82.0,58.0
2024-04-10,1.0,86.0,56.0
2024-04-11,1.0,79.0,52.0
2024-04-12,1.0,85.0,55.0
2024-04-13,1.0,79.0,48.0
2024-04-15,1.0,82.0,51.0
2024-04-16,1.0,91.0,56.0
2024-04-17,1.0,86.0,48.0
2024-04-18,1.0,78.0,50.0
2024-04-19,1.0,82.0,53.0
2024-04-20,1.0,72.0,43.0
2024-04-21,1.0,58.0,23.0
2024-04-22,1.0,76.0,50.0
2024-04-23,1.0,89.0,54.0
2024-04-24,1.0,87.0,52.0
2024-04-25,1.0,93.0,49.0
2024-04-26,1.0,96.0,57.0
2024-04-27,1.0,84.0,46.0
2024-04-28,1.0,58.0,25.0
2024-04-29,1.0,92.0,46.0
2024-04-30,1.0,83.0,54.0
2024-05-01,1.0,87.0,47.0
2024-05-02,1.0,94.0,54.0
2024-05-07,1.0,89.0,60.0
2024-05-08,1.0,84.0,48.0
2024-05-09,1.0,93.0,48.0
2024-05-10,1.0,105.0,58.0
2024-05-11,1.0,92.0,52.0
2024-05-12,1.0,35.0,19.0
2024-05-13,1.0,79.0,48.0
2024-05-14,1.0,87.0,53.0
2024-05-15,1.0,85.0,47.0
2024-05-16,1.0,89.0,48.0
2024-05-17,1.0,79.0,54.0
2024-05-18,1.0,78.0,46.0
2024-05-19,1.0,37.0,20.0
2024-05-20,1.0,75.0,46.0
2024-05-21,1.0,92.0,56.0
2024-05-22,1.0,85.0,52.0
2024-05-23,1.0,84.0,48.0
2024-05-24,1.0,87.0,57.0
2024-05-25,1.0,82.0,45.0
2024-05-26,1.0,52.0,22.0
2024-05-27,1.0,82.0,45.0
2024-05-28,1.0,103.0,60.0
2024-05-29,1.0,78.0,47.0
2024-05-30,1.0,86.0,49.0
2024-05-31,1.0,94.0,52.0
2024-06-01,1.0,89.0,54.0
2024-06-02,1.0,56.0,25.0
2024-06-03,1.0,69.0,44.0
2024-06-04,1.0,89.0,52.0
2024-06-05,1.0,81.0,50.0
2024-06-06,1.0,83.0,50.0
2024-06-07,1.0,93.0,61.0
2024-06-08,1.0,79.0,44.0
2024-06-10,1.0,78.0,52.0
2024-06-11,1.0,96.0,62.0
2024-06-12,1.0,86.0,51.0
2024-06-13,1.0,91.0,50.0
2024-06-14,1.0,78.0,50.0
2024-06-15,1.0,74.0,43.0
2024-06-16,1.0,36.0,22.0
2024-06-17,1.0,66.0,46.0
2024-06-18,1.0,82.0,56.0
2024-06-19,1.0,81.0,51.0
2024-06-20,1.0,71.0,51.0
2024-06-21,1.0,91.0,54.0
2024-06-22,1.0,77.0,47.0
2024-06-23,1.0,40.0,19.0
2024-06-24,1.0,77.0,46.0
2024-06-25,1.0,95.0,63.0
2024-06-26,1.0,95.0,51.0
2024-06-27,1.0,77.0,49.0
2024-06-28,1.0,89.0,55.0
2024-06-29,1.0,77.0,44.0
2024-06-30,1.0,38.0,20.0
2024-07-01,1.0,69.0,45.0
2024-07-02,1.0,86.0,58.0
2024-07-03,1.0,78.0,49.0
2024-07-04,1.0,76.0,48.0
2024-07-05,1.0,85.0,56.0
2024-07-06,1.0,80.0,46.0
2024-07-07,1.0,42.0,24.0
2024-07-08,1.0,71.0,48.0
2024-07-09,1.0,90.0,57.0
2024-07-10,1.0,80.0,49.0
2024-07-11,1.0,84.0,54.0
2024-07-12,1.0,81.0,54.0
2024-07-13,1.0,87.0,46.0
2024-07-15,1.0,82.0,34.0
2024-07-16,1.0,79.0,53.0
2024-07-17,1.0,75.0,50.0
2024-07-18,1.0,81.0,49.0
2024-07-19,1.0,86.0,55.0
2024-07-20,1.0,68.0,42.0
2024-07-21,1.0,45.0,25.0
2024-07-22,1.0,81.0,51.0
2024-07-23,1.0,100.0,63.0
2024-07-24,1.0,76.0,46.0
2024-07-25,1.0,144.0,50.0
2024-07-26,1.0,96.0,60.0
2024-07-27,1.0,80.0,49.0
2024-07-28,1.0,54.0,27.0
2024-07-29,1.0,82.0,52.0
2024-07-30,1.0,99.0,60.0
2024-07-31,1.0,96.0,49.0
2024-08-01,1.0,82.0,47.0
2024-08-02,1.0,93.0,58.0
2024-08-03,1.0,70.0,44.0
2024-08-04,1.0,40.0,23.0
2024-08-05,1.0,80.0,54.0
2024-08-06,1.0,97.0,58.0
2024-08-07,1.0,102.0,51.0
2024-08-08,1.0,104.0,53.0
2024-08-09,1.0,92.0,52.0
2024-08-10,1.0,80.0,45.0
2024-08-11,1.0,52.0,23.0
2024-08-12,1.0,88.0,36.0
2024-08-16,1.0,99.0,64.0
2024-08-17,1.0,74.0,47.0
2024-08-18,1.0,56.0,24.0
2024-08-19,1.0,84.0,56.0
2024-08-20,1.0,85.0,58.0
2024-08-21,1.0,95.0,52.0
2024-08-22,1.0,86.0,51.0
2024-08-23,1.0,97.0,61.0
2024-08-24,1.0,81.0,51.0
2024-08-25,1.0,48.0,22.0
2024-08-26,1.0,86.0,54.0
2024-08-27,1.0,98.0,56.0
2024-08-28,1.0,93.0,54.0
2024-08-29,1.0,98.0,56.0
2024-08-30,1.0,99.0,57.0
2024-08-31,1.0,75.0,51.0
2024-09-01,1.0,36.0,23.0
2024-09-02,1.0,74.0,49.0
2024-09-03,1.0,73.0,51.0
2024-09-04,1.0,75.0,47.0
2024-09-05,1.0,83.0,49.0
2024-09-06,1.0,81.0,53.0
2024-09-07,1.0,75.0,51.0
2024-09-09,1.0,66.0,41.0
2024-09-10,1.0,97.0,63.0
2024-09-11,1.0,87.0,49.0
2024-09-12,1.0,85.0,44.0
2024-09-13,1.0,77.0,49.0
2024-09-14,1.0,81.0,50.0
2024-09-15,1.0,67.0,23.0
2024-09-16,1.0,78.0,34.0
2024-09-17,1.0,85.0,51.0
2024-09-18,1.0,88.0,49.0
2024-09-19,1.0,82.0,46.0
2024-09-20,1.0,88.0,49.0
2024-09-21,1.0,81.0,46.0
2024-09-22,1.0,34.0,17.0
2024-09-23,1.0,81.0,41.0
2024-09-24,1.0,83.0,51.0
2024-09-25,1.0,87.0,48.0
2024-09-26,1.0,93.0,47.0
