date,reserve_count,reserve_sum,fixed_ratio
2023-08-27,22.0,31.0,0.5
2023-08-28,67.0,101.0,0.5522388059701493
2023-08-29,75.0,113.0,0.56
2023-08-30,71.0,103.0,0.5352112676056338
2023-08-31,74.0,95.0,0.5540540540540541
2023-09-01,71.0,93.0,0.5633802816901409
2023-09-02,50.0,79.0,0.62
2023-09-03,28.0,45.0,0.35714285714285715
2023-09-04,54.0,73.0,0.6296296296296297
2023-09-05,66.0,92.0,0.6212121212121212
2023-09-06,68.0,93.0,0.5
2023-09-07,65.0,95.0,0.5384615384615384
2023-09-08,65.0,88.0,0.6153846153846154
2023-09-09,44.0,94.0,0.7045454545454546
2023-09-11,63.0,100.0,0.5238095238095238
2023-09-12,65.0,91.0,0.6461538461538462
2023-09-13,71.0,101.0,0.49295774647887325
2023-09-14,76.0,99.0,0.47368421052631576
2023-09-15,67.0,81.0,0.5970149253731343
2023-09-16,57.0,90.0,0.5614035087719298
2023-09-17,23.0,37.0,0.5217391304347826
2023-09-18,47.0,76.0,0.46808510638297873
2023-09-19,68.0,87.0,0.6029411764705882
2023-09-20,64.0,82.0,0.546875
2023-09-21,68.0,89.0,0.5147058823529411
2023-09-22,65.0,88.0,0.6153846153846154
2023-09-23,49.0,75.0,0.32653061224489793
2023-09-24,23.0,42.0,0.43478260869565216
2023-09-25,64.0,85.0,0.515625
2023-09-26,72.0,97.0,0.5694444444444444
2023-09-27,71.0,98.0,0.49295774647887325
2023-09-28,70.0,95.0,0.5142857142857142
2023-09-29,67.0,95.0,0.5970149253731343
2023-09-30,57.0,82.0,0.543859649122807
2023-10-01,29.0,50.0,0.3448275862068966
2023-10-02,62.0,88.0,0.5483870967741935
2023-10-03,77.0,95.0,0.5324675324675324
2023-10-04,60.0,82.0,0.5833333333333334
2023-10-05,69.0,90.0,0.5217391304347826
2023-10-06,63.0,90.0,0.6190476190476191
2023-10-07,54.0,86.0,0.5740740740740741
2023-10-09,46.0,70.0,0.43478260869565216
2023-10-10,64.0,80.0,0.640625
